"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Control_1","Control_2","Activated_1","Activated_2","go","genename"
"Lims1",1946.36350508176,-0.605067157110547,0.141045699588612,-4.28986604253334,1.78780921603457e-05,0.000171696252103746,1971,2787,1487,1646,"GO:0005515","LIM and senescent cell antigen-like domains 1"
"B4galnt1",4596.31059177674,0.592646390570716,0.138181451181723,4.28889974379646,1.79560396070173e-05,0.000172192871560408,3428,3891,5145,6082,"GO:0001574","beta-1,4-N-acetyl-galactosaminyl transferase 1"
"Coro1c",1432.4536524134,0.673761890676243,0.157097066724195,4.28882540409952,1.79620496862352e-05,0.000172192871560408,1053,1146,1687,1885,"GO:0000147","coronin, actin binding protein 1C"
"Ptch1",360.273766272418,-0.998220526280264,0.232770178398461,-4.28843820608106,1.79933841601017e-05,0.000172192871560408,473,479,207,282,"GO:0000122","patched 1"
"Tollip",708.931578013111,0.74521883351847,0.173770964831059,4.28851180197438,1.79874243165736e-05,0.000172192871560408,441,633,833,971,"GO:0002376","toll interacting protein"
"Zmynd8",926.428991740628,-0.776781804870091,0.181277295241826,-4.28504741221924,1.82700221193983e-05,0.000174685921994212,1097,1238,745,633,"GO:0000977","zinc finger, MYND-type containing 8"
"2610008E11Rik",140.50290990198,-1.38086863758312,0.322817101448422,-4.27755726505011,1.88955358637488e-05,0.000180507354507929,184,223,91,66,"GO:0003674","RIKEN cDNA 2610008E11 gene"
"Ccr2",187.541446475314,-1.22212160204496,0.285722635227767,-4.27730061033048,1.89173268518287e-05,0.000180556301132917,254,268,95,134,"GO:0001525","chemokine (C-C motif) receptor 2"
"Atp7a",1500.78155065111,0.661649320278079,0.154750632703928,4.27558394248352,1.9063695316041e-05,0.000181793143801648,1008,1337,1942,1775,"GO:0000166","ATPase, Cu++ transporting, alpha polypeptide"
"6330409D20Rik",34.6190874016626,-2.67814714759557,0.626439283503547,-4.27519029875846,1.90974103136548e-05,0.000181954481906616,48,74,9,10,"GO:0003674","RIKEN cDNA 6330409D20 gene"
"E330016A19Rik",316.27549433085,1.06056162582315,0.248132594978149,4.27417295142762,1.91848078449255e-05,0.000182626558333988,143,280,395,475,NA,NA
"Fnip1",978.902048236815,0.790407384159351,0.184948238338537,4.27366808821697,1.92283205657204e-05,0.00018288006732963,669,764,1378,1123,"GO:0000122","folliculin interacting protein 1"
"Fam105a",3259.9826874224,-0.615071061659932,0.143959362266527,-4.27253255346592,1.93265327852649e-05,0.000183491962894632,3131,4915,2552,2668,"GO:0003674","family with sequence similarity 105, member A"
"Mbd4",144.917642182924,-1.44820102364905,0.338950406755918,-4.27260447187459,1.93202984288909e-05,0.000183491962894632,151,287,60,99,"GO:0000785","methyl-CpG binding domain protein 4"
"Wbp5",114.4612249733,1.47605358508335,0.345998428978048,4.26607019414242,1.98946209025371e-05,0.000188720164831159,61,59,176,164,NA,NA
"Gne",183.012588321954,-1.26925109912971,0.297576830288495,-4.26528872526533,1.99643856660733e-05,0.000189216264147483,245,271,83,136,"GO:0000166","glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase"
"Gpr171",405.531015300054,2.91399047680953,0.683375831718186,4.26411111069438,2.00699560995022e-05,0.000190050554568101,122,58,620,838,"GO:0004871","G protein-coupled receptor 171"
"Fmnl3",204.233871105566,1.10736515653548,0.260098318806085,4.25748679045122,2.06737871755411e-05,0.000195597499102739,117,143,266,300,"GO:0001525","formin-like 3"
"Jhdm1d",3093.0271430501,-0.601252134447434,0.141284060416656,-4.25562609592548,2.08464835715967e-05,0.000197059298892763,3514,3922,2392,2591,NA,NA
"Abi1",1620.12000628325,0.607916801928684,0.142863893738184,4.25521652827667,2.08846807199497e-05,0.000197248253042036,1109,1482,1877,2093,"GO:0001756","abl-interactor 1"
"D4Wsu53e",1392.48337345489,-0.799564318162638,0.188101686651469,-4.25070254497048,2.1310102577578e-05,0.000201090889566988,1284,2360,1086,968,NA,NA
"Abcb1a",1837.55032942556,0.67890076914757,0.159732242334689,4.25024252602089,2.13539174526274e-05,0.00020132897107425,1382,1422,2258,2323,"GO:0000086","ATP-binding cassette, sub-family B (MDR/TAP), member 1A"
"Pip4k2c",344.395384184384,0.909095132597956,0.214039318109787,4.24732773691447,2.16335384665312e-05,0.000203787932354724,207,276,419,494,"GO:0000166","phosphatidylinositol-5-phosphate 4-kinase, type II, gamma"
"Pbxip1",897.346074579625,-0.720715501197682,0.169698002573535,-4.24704763914575,2.16605915521461e-05,0.000203865498075064,984,1265,600,779,"GO:0003674","pre B cell leukemia transcription factor interacting protein 1"
"Prom2",80.2222739926615,-1.75124218458577,0.412684385825429,-4.24353875439952,2.20022354723348e-05,0.000206721783930444,122,123,42,32,"GO:0001934","prominin 2"
"Smc1a",1685.35957094985,0.600590784652363,0.141525192211456,4.24370230675968,2.19861978152264e-05,0.000206721783930444,1166,1535,1966,2154,"GO:0000166","structural maintenance of chromosomes 1A"
"Cd22",1343.00390721253,-0.718197755235038,0.169309380077559,-4.2419253729831,2.21610386568514e-05,0.000208033389748415,1530,1815,1112,937,"GO:0005515","CD22 antigen"
"Ino80d",3151.87901201462,0.597465720489461,0.140872282947329,4.24118718025495,2.22340612894004e-05,0.000208538169652013,2299,2724,3921,3756,"GO:0003674","INO80 complex subunit D"
"Emilin2",134.457523426472,1.44072995525032,0.340103732761214,4.23614861134693,2.27386312390746e-05,0.0002130861524333,79,63,175,224,"GO:0005576","elastin microfibril interfacer 2"
"Sec24b",2031.41717814606,0.641803804596424,0.151621685623398,4.23292883176719,2.30667515459698e-05,0.000215974174155135,1508,1654,2515,2496,"GO:0001843","Sec24 related gene family, member B (S. cerevisiae)"
"Sar1a",878.973816822655,0.709535417410428,0.167660011554059,4.2319895533447,2.31633170025176e-05,0.000216691030300754,606,732,996,1221,"GO:0000166","secretion associated Ras related GTPase 1A"
"Kat2b",330.59322105913,-0.956488870258876,0.226120564282088,-4.22999506168596,2.33696442036716e-05,0.000218432576064171,385,493,245,209,"GO:0000123","K(lysine) acetyltransferase 2B"
"Cpt1a",402.881890757366,-0.850360061114951,0.201110512207743,-4.22832228797939,2.3544037448401e-05,0.000219872894550455,448,598,280,303,"GO:0001676","carnitine palmitoyltransferase 1a, liver"
"Pion",1389.75780083325,-0.691624247913368,0.163628718888466,-4.22679009291029,2.37048608015061e-05,0.000221184114610435,1428,2053,1145,1002,NA,NA
"Itpripl2",477.099934720322,-0.823981843749788,0.195081190544126,-4.2237892923019,2.40228661360357e-05,0.00022395844135256,506,731,319,381,"GO:0003674","inositol 1,4,5-triphosphate receptor interacting protein-like 2"
"Atp6v0b",868.427033562532,0.69849465995524,0.165386764195938,4.22340120958964,2.40642878030982e-05,0.000224151702296614,553,789,1007,1176,"GO:0000220","ATPase, H+ transporting, lysosomal V0 subunit B"
"Tada1",538.622231268177,0.782160109466022,0.185208120065901,4.22314156197749,2.40920389938289e-05,0.000224217404141021,336,465,683,697,"GO:0000124","transcriptional adaptor 1"
"Rftn1",249.844866948879,1.2161099431715,0.288010183379484,4.22245466775439,2.4165601289608e-05,0.000224708977485256,142,158,426,275,"GO:0001765","raftlin lipid raft linker 1"
"Rad51l3",298.372364385013,-0.979035630515177,0.231998511355102,-4.22000824400396,2.44293384920078e-05,0.000226966572799246,312,496,191,217,NA,NA
"Edf1",714.071295160421,0.797709081732365,0.18924086264214,4.21531095660274,2.49434260418529e-05,0.000231544245339668,478,567,772,1075,"GO:0003677","endothelial differentiation-related factor 1"
"Rps6ka5",245.841304016482,-1.0167518377356,0.241322689987398,-4.21324591479024,2.51726733320837e-05,0.000233472234765807,278,388,157,173,"GO:0000166","ribosomal protein S6 kinase, polypeptide 5"
"Dhx34",291.68018567725,0.955456478287501,0.226837810663675,4.21206885876766,2.53042376008092e-05,0.000234491707382007,181,217,377,403,"GO:0000166","DEAH (Asp-Glu-Ala-His) box polypeptide 34"
"Rsrc2",1303.2962363667,0.641077410516986,0.152233691682229,4.21114014534419,2.54085049743748e-05,0.000235256696057608,884,1170,1629,1585,"GO:0005575","arginine/serine-rich coiled-coil 2"
"Tmem59",734.546436083045,-0.718318461637188,0.170690813835945,-4.20830181480991,2.57297054595446e-05,0.000238027241027538,763,1089,548,578,"GO:0000137","transmembrane protein 59"
"Tcp1",1098.28700637068,0.666437211597902,0.158382066782559,4.20778201179081,2.57889459739497e-05,0.000238371716498121,701,1022,1268,1469,"GO:0000166","t-complex protein 1"
"Got2",893.314059736303,0.721872531111047,0.171583814798937,4.20711319396262,2.58653601546772e-05,0.000238874208487313,580,782,981,1283,"GO:0003723","glutamatic-oxaloacetic transaminase 2, mitochondrial"
"Trip10",88.5059211468891,1.68367227854806,0.400425102942531,4.20471210764652,2.61414686446322e-05,0.000241218509222573,27,60,124,151,"GO:0001837","thyroid hormone receptor interactor 10"
"Mrps6",64.51955042246,2.00425941895039,0.477036720781413,4.2014782754403,2.65177697925844e-05,0.000244482553330269,31,19,98,111,"GO:0003735","mitochondrial ribosomal protein S6"
"2310008H09Rik",1021.68897750183,-0.658291995533779,0.15675735956017,-4.19943278823281,2.67584441423205e-05,0.00024628226456564,1059,1472,778,829,NA,NA
"9330179D12Rik",60.8181724557684,2.06639556790428,0.492048593142314,4.19957621402369,2.67415010083235e-05,0.00024628226456564,26,20,116,81,"GO:0003674","RIKEN cDNA 9330179D12 gene"
"Atp2a2",1562.78013369587,0.63690226867312,0.151707035587584,4.19823817798762,2.68999626443052e-05,0.000247374614028657,1121,1329,1959,1889,"GO:0000166","ATPase, Ca++ transporting, cardiac muscle, slow twitch 2"
"Gxylt1",697.526520867612,-0.741579934878868,0.176759156334538,-4.19542585661213,2.72359372047316e-05,0.000250039752321066,723,1048,536,521,"GO:0005575","glucoside xylosyltransferase 1"
"Nlrp10",70.3350695333078,-1.87393787823315,0.446647219351241,-4.1955659792421,2.72191034023955e-05,0.000250039752321066,119,97,29,32,"GO:0000166","NLR family, pyrin domain containing 10"
"Satb1",1297.38282646998,-0.642773251660173,0.153258453793842,-4.19404760878515,2.74020430807476e-05,0.000251351678826197,1445,1724,947,1110,"GO:0000122","special AT-rich sequence binding protein 1"
"Nr3c1",837.357875470156,-0.694566777494687,0.165617744849806,-4.19379443986857,2.7432659428663e-05,0.000251419627403305,945,1129,631,665,"GO:0000122","nuclear receptor subfamily 3, group C, member 1"
"Rtn1",2122.29079011673,0.57382243336306,0.136841415600475,4.19333891603697,2.74878289893023e-05,0.000251712300457407,1479,1962,2480,2668,"GO:0005783","reticulon 1"
"Timp3",83.9699641430941,1.81406509796623,0.433273178285133,4.18688529289114,2.82808660180718e-05,0.000258755592545415,45,27,119,146,"GO:0002020","tissue inhibitor of metalloproteinase 3"
"Mtmr14",574.282624151735,0.762388494328681,0.182114547011895,4.186312992772,2.8352232013266e-05,0.000259189645063047,381,475,729,734,"GO:0001726","myotubularin related protein 14"
"Arhgdia",7603.52375303941,0.626649407472754,0.1496982234868,4.18608446297301,2.83807775525265e-05,0.000259231840831804,5304,6719,7805,11009,"GO:0001772","Rho GDP dissociation inhibitor (GDI) alpha"
"Tjap1",185.132025369651,1.13491505795287,0.27116777923022,4.18528728293095,2.84805669363584e-05,0.000259924163118425,103,130,258,257,"GO:0005515","tight junction associated protein 1"
"Trps1",2815.72611424474,0.61040325007315,0.145986317203664,4.1812360347551,2.89928700459373e-05,0.000264376903373433,1986,2494,3614,3261,"GO:0000122","transcriptional repressor GATA binding 1"
"Manba",195.385398705959,-1.10605532565931,0.264685224384657,-4.17875734556276,2.93106207501366e-05,0.000267049583335769,232,306,126,125,"GO:0004553","mannosidase, beta A, lysosomal"
"Asb2",1740.72134928944,-0.605625435483746,0.144981315822736,-4.1772654086284,2.95034695438596e-05,0.00026858074417532,1743,2519,1323,1479,"GO:0000151","ankyrin repeat and SOCS box-containing 2"
"Gbp4",687.583539263844,-0.755644035979493,0.181095906533692,-4.17261798150533,3.01119584449086e-05,0.000273889878953564,686,1075,510,527,"GO:0000122","guanylate binding protein 4"
"Ldb1",258.95416623465,-0.997605082493816,0.239112815766423,-4.1721104713531,3.01791245813534e-05,0.000274270517273323,283,418,164,187,"GO:0000790","LIM domain binding 1"
"Zbtb34",550.313492640857,-0.760774719620714,0.182368128529764,-4.17164296060947,3.02411229912905e-05,0.000274603592091073,601,795,403,425,"GO:0003674","zinc finger and BTB domain containing 34"
"Fam65a",243.856669801208,-1.02919742718697,0.246802240058929,-4.17013000749601,3.0442592325632e-05,0.000276201509768485,265,401,149,177,NA,NA
"Hexim1",344.302428557745,0.964147811225773,0.231432896519413,4.16599293240448,3.1000030562456e-05,0.000281023708019319,213,255,380,548,"GO:0000122","hexamethylene bis-acetamide inducible 1"
"Gpbp1",2290.97121853548,0.614337062427955,0.147542815367006,4.16378839525205,3.13010223478367e-05,0.000283515029342905,1698,1916,2833,2775,"GO:0003677","GC-rich promoter binding protein 1"
"Sirpb1b",275.627292636286,-1.0114218041844,0.243091374880962,-4.1606651189483,3.17322096621818e-05,0.000287180473910121,313,432,202,167,"GO:0003674","signal-regulatory protein beta 1B"
"Samd9l",856.001264663314,-0.683671548704054,0.164348792789657,-4.15988178008132,3.18412362893774e-05,0.00028792663833291,943,1177,664,666,"GO:0002244","sterile alpha motif domain containing 9-like"
"Ctsd",644.457850354194,0.862476551528481,0.207544533371496,4.15562162740604,3.24404311801477e-05,0.000293100242681018,476,424,793,893,"GO:0000045","cathepsin D"
"Ube2h",612.229387386276,0.747332518966019,0.180022374226606,4.15133131188072,3.30546852005416e-05,0.00029840117064789,415,502,718,840,"GO:0000166","ubiquitin-conjugating enzyme E2H"
"Rars",550.65229767544,0.802925613407342,0.193633768870983,4.14661976621611,3.37419716836409e-05,0.000304352022688494,389,409,676,743,"GO:0000049","arginyl-tRNA synthetase"
"Rbm47",1139.39519535406,0.658465608573348,0.158969102322658,4.14209804894581,3.44143152416381e-05,0.000310158300343316,821,946,1407,1417,"GO:0002244","RNA binding motif protein 47"
"Eif2c4",180.631069685235,-1.1272357910414,0.272243800266561,-4.14053796610866,3.46492252139054e-05,0.000312015841015991,218,281,111,119,NA,NA
"Cyth1",401.222522708918,0.849103748580433,0.20522704038808,4.1373872905578,3.51282905304821e-05,0.000316067085811223,233,349,502,545,"GO:0005085","cytohesin 1"
"Rnf150",653.726874599034,-0.724991564712336,0.175486374672401,-4.13132681135932,3.60675376276052e-05,0.000324248659850495,698,948,461,540,"GO:0003674","ring finger protein 150"
"Naa15",1127.33080457507,0.687174853820237,0.16634968764706,4.13090558533659,3.61336974313067e-05,0.000324574083145394,757,983,1494,1315,"GO:0001525","N(alpha)-acetyltransferase 15, NatA auxiliary subunit"
"Ifngr2",1212.60299983215,0.62329462299645,0.150898735431847,4.13054901495817,3.61897921480629e-05,0.000324808631598977,855,1063,1428,1554,"GO:0004920","interferon gamma receptor 2"
"Arf1",2492.70256185754,0.620120611994196,0.150226841354184,4.12789489817043,3.66099367206249e-05,0.000328307487164345,1696,2271,2638,3512,"GO:0000139","ADP-ribosylation factor 1"
"Appl2",238.977355705318,-1.02264357126766,0.247796300358079,-4.12695254041276,3.67602221319105e-05,0.000329321374123721,258,394,153,167,"GO:0005634","adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2"
"Fbrs",2712.37957766034,0.608325804583604,0.147408418072653,4.12680505318074,3.67837960573897e-05,0.000329321374123721,2057,2220,3257,3379,"GO:0005615","fibrosin"
"Wdr11",685.30456409637,-0.728687287327972,0.176654066179785,-4.12493922775812,3.70832661667534e-05,0.000331728342183682,790,920,484,563,"GO:0003674","WD repeat domain 11"
"Zfand3",594.626962463179,0.74108670674192,0.179681918799558,4.12443673627857,3.71643121999223e-05,0.000332179038004751,390,507,698,813,"GO:0003677","zinc finger, AN1-type domain 3"
"Mrpl52",413.133458984773,0.859130393398797,0.20844918341394,4.12153398410167,3.76357937615676e-05,0.000336115872892879,260,331,469,615,"GO:0003674","mitochondrial ribosomal protein L52"
"Cep97",118.030110557502,-1.42774913724302,0.346857126493299,-4.11624564753062,3.85093870307392e-05,0.000343634423149916,123,232,62,68,"GO:0003674","centrosomal protein 97"
"E430025E21Rik",719.244931211547,0.705568587319083,0.17147806320113,4.1146288577537,3.87802875362e-05,0.000345766958748687,499,597,877,930,NA,NA
"Ube2k",1156.58537182862,0.637420163570973,0.154955246161322,4.11357588311249,3.89576898183648e-05,0.000347063037666403,830,983,1353,1503,"GO:0000166","ubiquitin-conjugating enzyme E2K"
"Zswim4",264.001703974735,1.04139634905481,0.253354110876714,4.1104379378378,3.94909415107071e-05,0.00035152454345562,177,164,341,379,"GO:0003674","zinc finger SWIM-type containing 4"
"Arpc2",7571.01672121845,0.517354560229023,0.126009711326302,4.10567213259726,4.03140949787829e-05,0.000358557135390111,5362,7214,8343,9762,"GO:0003779","actin related protein 2/3 complex, subunit 2"
"0610031J06Rik",685.078495553895,0.710260417078853,0.173089727904974,4.10342326881919,4.07081504669045e-05,0.000361627113774475,467,577,805,921,NA,NA
"Slc9a2",33.5148116574481,-2.69908398491666,0.657780248958195,-4.10332172361746,4.07260296136675e-05,0.000361627113774475,44,75,12,6,"GO:0005886","solute carrier family 9 (sodium/hydrogen exchanger), member 2"
"2410091C18Rik",187.090368963353,-1.11581024818447,0.272390639055624,-4.09636047719179,4.19696239736213e-05,0.000372364403363014,237,275,121,118,NA,NA
"Ehd4",399.799098140287,-0.83289321759412,0.203421064194902,-4.0944295562042,4.23209057098833e-05,0.000375173790143344,438,597,268,316,"GO:0000166","EH-domain containing 4"
"Cyth3",242.566369999525,1.03485799275091,0.252975674375897,4.09074111692342,4.29996905323823e-05,0.000380568339491256,145,174,353,305,"GO:0001726","cytohesin 3"
"Slc38a9",561.422617465682,-0.852018806906495,0.208274097978158,-4.09085342429786,4.29788709853421e-05,0.000380568339491256,538,946,422,388,"GO:0003333","solute carrier family 38, member 9"
"Fam105b",768.909861176419,0.725727113005239,0.177460197983282,4.08952047418321,4.32265913001943e-05,0.000382264215146943,555,599,961,979,NA,NA
"Fem1c",1879.59636065897,0.588737088766696,0.144005231478122,4.08830347844786,4.3453944535372e-05,0.000383961322309694,1334,1685,2313,2256,"GO:0003674","fem-1 homolog c (C.elegans)"
"Peli1",1639.76909051837,0.651720410756749,0.159423058445375,4.08799340015206,4.35120529213906e-05,0.000384161425670272,1133,1432,2165,1881,"GO:0000209","pellino 1"
"Epb4.1l2",3011.04874898052,0.55204996474495,0.135105601535409,4.08606274255968,4.38755179491386e-05,0.000386740021109047,2181,2726,3629,3619,NA,NA
"Gnl3",392.123353472478,1.08182549851729,0.26475244218274,4.08617759896084,4.38538147956385e-05,0.000386740021109047,284,205,561,514,"GO:0000166","guanine nucleotide binding protein-like 3 (nucleolar)"
"Ncl",4069.37943754766,0.581804834248697,0.142691147528232,4.07737161223392,4.55476653325318e-05,0.000401152730526274,3122,3365,4766,5125,"GO:0001525","nucleolin"
"Ptpn11",799.146523466163,0.67790223213674,0.166302349266717,4.07632384705231,4.57532865470963e-05,0.000402636355129728,516,729,957,1038,"GO:0000077","protein tyrosine phosphatase, non-receptor type 11"
"Napepld",67.1832777576906,-1.87018714224961,0.45902220347179,-4.07428470366912,4.61559895201269e-05,0.000405850514993129,87,127,37,21,"GO:0004620","N-acyl phosphatidylethanolamine phospholipase D"
"Blk",136.38377556873,1.30001494271195,0.319217400468899,4.07250651375004,4.65098990498077e-05,0.000408630767564126,80,76,186,207,"GO:0000166","B lymphoid kinase"
"Il6st",3906.38853437552,-0.608202666504256,0.149355614233718,-4.07217813421137,4.65755366079021e-05,0.000408875841226421,3636,6021,2982,3298,"GO:0004896","interleukin 6 signal transducer"
"Rab1",2303.4789298826,0.579097016308613,0.142264372940498,4.07056949213011,4.68983482225852e-05,0.000411376361372684,1527,2222,2580,3026,NA,NA
"Il10ra",2190.70564098388,-0.640704802001886,0.157471239230607,-4.06870997607133,4.7274147038128e-05,0.000414337245035631,2058,3405,1729,1739,"GO:0004920","interleukin 10 receptor, alpha"
"Rbm25",2095.81423013417,0.61219087285729,0.1504917933898,4.06793526123785,4.74315540456322e-05,0.000415380780094045,1400,1955,2686,2435,"GO:0000381","RNA binding motif protein 25"
"Dtx1",2590.30583746923,0.6902990048281,0.169720327424581,4.0672735865116,4.7566386835944e-05,0.000416225095794654,2024,1883,3065,3423,"GO:0005112","deltex 1, E3 ubiquitin ligase"
"Mdp1",211.290402480303,-1.0737904409999,0.264135952224113,-4.0652945271487,4.7971842036388e-05,0.000419434192720089,259,316,117,160,"GO:0004721","magnesium-dependent phosphatase 1"
"Aph1b",56.1447721125693,-1.94743062772374,0.479164375885994,-4.06422247923348,4.81928414090074e-05,0.000421026654019175,67,116,22,25,"GO:0004175","aph1 homolog B, gamma secretase subunit"
"Heatr1",843.383758749569,0.664796192475432,0.163642141800525,4.0624999475123,4.85499586333102e-05,0.000423804755741055,573,741,1037,1058,"GO:0000462","HEAT repeat containing 1"
"Csda",518.094081915794,0.841913082948992,0.207366452800338,4.06002548425527,4.90673601706899e-05,0.000427976419266573,367,369,594,758,NA,NA
"Srebf2",2541.42949944242,0.5598493400183,0.137915543758723,4.05936361312347,4.92066386206747e-05,0.000428845950263692,1814,2321,2804,3349,"GO:0000122","sterol regulatory element binding factor 2"
"Hax1",316.845783488389,0.910724291131598,0.224648821536599,4.05399095754093,5.03511634170299e-05,0.000438467968888011,209,230,393,446,"GO:0005515","HCLS1 associated X-1"
"S100a11",3788.76243568657,0.57973405928319,0.143148881852757,4.04986788425985,5.12465566046734e-05,0.000445906785299942,2906,3140,4369,4840,"GO:0005509","S100 calcium binding protein A11"
"Chka",943.51751951551,-0.714626545247389,0.17647174078834,-4.04952397508511,5.13219201019232e-05,0.000446204141624506,1020,1344,784,658,"GO:0000166","choline kinase alpha"
"Tnfrsf9",142.49056970122,1.22746785356343,0.303131986306635,4.04928515963928,5.13743153734009e-05,0.000446301490328831,70,103,197,208,"GO:0004872","tumor necrosis factor receptor superfamily, member 9"
"Hspa1b",287.772233670918,0.956258847195002,0.236198970126838,4.04853097658087,5.1540113532706e-05,0.000447024859807689,180,212,405,362,"GO:0002199","heat shock protein 1B"
"Rab22a",309.843009540326,0.99835141796705,0.24658993535584,4.04863003239117,5.15183084016059e-05,0.000447024859807689,216,191,405,431,"GO:0000166","RAB22A, member RAS oncogene family"
"Usp48",1232.51355010083,-0.622922121440425,0.153899218479587,-4.04759769149217,5.17459872121242e-05,0.000448451423575153,1373,1619,926,1043,"GO:0004843","ubiquitin specific peptidase 48"
"Atp6v1b2",744.524734739202,0.679176852068929,0.167806964414978,4.04736987190448,5.1796360221921e-05,0.000448529152904932,492,664,892,967,"GO:0001726","ATPase, H+ transporting, lysosomal V1 subunit B2"
"Eif3d",612.195430605678,0.716763451390832,0.177192826874748,4.04510421800251,5.22998527121261e-05,0.000452527399704842,403,531,725,820,"GO:0001732","eukaryotic translation initiation factor 3, subunit D"
"Rad50",908.379896986646,-0.65218783937621,0.161242304225045,-4.04476878763748,5.23747878357995e-05,0.000452814107442311,955,1287,711,720,"GO:0000014","RAD50 double strand break repair protein"
"Fam114a1",209.483143019273,1.0820515171215,0.267651345742938,4.04276509097302,5.28245370161971e-05,0.000456338285084899,109,164,307,268,"GO:0003674","family with sequence similarity 114, member A1"
"Zfr",1238.52174813375,0.642149646188091,0.158856092707097,4.04233564633937,5.29214051033712e-05,0.000456810821900255,874,1067,1580,1472,"GO:0003676","zinc finger RNA binding protein"
"Tbc1d9",3853.77117343676,-0.545865059312561,0.135062138585798,-4.04158459971224,5.30912203744158e-05,0.000457911775729337,4236,4910,3003,3354,"GO:0005096","TBC1 domain family, member 9"
"Ggt5",351.426652306044,-0.879543938329806,0.217676978255623,-4.04059237397599,5.33163591773795e-05,0.000459487763698132,363,565,245,257,"GO:0000048","gamma-glutamyltransferase 5"
"Gm9733",178.349019094771,-1.10726003981432,0.274331233696227,-4.03621572686258,5.43202722529291e-05,0.000467767495481702,216,274,114,115,"GO:0003674","predicted gene 9733"
"Timm23",197.958093246734,1.06521827859392,0.264341582962541,4.02970378952777,5.58471816603032e-05,0.000480534169123165,116,141,249,295,"GO:0005739","translocase of inner mitochondrial membrane 23"
"Zfp715",305.594340661291,0.902785682933227,0.224061590090549,4.02918537964668,5.59704690920209e-05,0.000481212771169732,183,247,408,398,"GO:0000122","zinc finger protein 715"
"Pcf11",2009.52215433614,0.609282706967558,0.151304399881431,4.02686708017097,5.65249647036533e-05,0.000485594720566753,1485,1694,2521,2388,"GO:0000993","PCF11 cleavage and polyadenylation factor subunit"
"Frat2",54.486691524885,-2.18533743749119,0.543016337547491,-4.02444141434339,5.71107087591179e-05,0.000490237961955249,105,67,14,26,"GO:0003674","frequently rearranged in advanced T cell lymphomas 2"
"Osbpl2",165.572523521518,-1.13561770532727,0.282227060521489,-4.02377328109117,5.72730550852482e-05,0.000491242284828578,201,257,101,109,"GO:0005575","oxysterol binding protein-like 2"
"Trp53",1251.90034505175,0.602558736064964,0.149811539337626,4.02211163925759,5.76787064580996e-05,0.000494330242927684,861,1145,1438,1626,"GO:0000060","transformation related protein 53"
"Dcaf17",238.898927202145,-1.03758947287096,0.258099957774808,-4.02010710042911,5.81716898504094e-05,0.000498161198537142,245,413,163,154,"GO:0003674","DDB1 and CUL4 associated factor 17"
"Map3k3",815.837299508331,-0.693628012917613,0.172761143044565,-4.01495382985911,5.94574328171118e-05,0.000508769644318935,880,1152,661,599,"GO:0000166","mitogen-activated protein kinase kinase kinase 3"
"Ramp1",133.160170232055,-1.31800284678433,0.328346835833103,-4.01405679284286,5.96839758944239e-05,0.000510305059877106,193,182,79,75,"GO:0001525","receptor (calcitonin) activity modifying protein 1"
"1700011B04Rik",33.6458110503172,2.57696861665879,0.642181626247278,4.01283454918796,5.99939644253365e-05,0.000512550959479236,11,8,51,66,NA,"RIKEN cDNA 1700011B04 gene"
"Tbc1d1",1079.64239408658,0.663035417337707,0.165417682289385,4.00824995345891,6.1170359206381e-05,0.000522189520317357,752,926,1404,1270,"GO:0005096","TBC1 domain family, member 1"
"Mefv",1311.55704699691,0.665406020848236,0.166027051113024,4.00781689723114,6.12826021487646e-05,0.000522735770927218,778,1298,1578,1685,"GO:0002376","Mediterranean fever"
"Ptger3",74.859118293685,-1.70070500233583,0.424710761885885,-4.00438405371227,6.21792785289052e-05,0.000529967052953289,92,141,42,29,"GO:0001660","prostaglandin E receptor 3 (subtype EP3)"
"Fam48a",1529.37440877527,-0.579907768661495,0.144827460381535,-4.00412854809289,6.22465121952023e-05,0.000530123008341688,1643,2038,1194,1292,NA,NA
"Setd2",3506.73132862562,-0.517479546255044,0.129300360204794,-4.00215084811387,6.27692565166709e-05,0.0005341550320857,3583,4746,2814,3035,"GO:0001525","SET domain containing 2"
"Tmsb4x",30252.5718188964,0.534831096833962,0.133787332465957,3.99762135155847,6.39821916351301e-05,0.0005440495149006,21401,28454,31647,41212,"GO:0003779","thymosin, beta 4, X chromosome"
"4933407H18Rik",274.638892252544,-0.992463394761109,0.248277083674428,-3.99740233803677,6.40413990598996e-05,0.000544125863541877,294,450,204,167,NA,NA
"Aup1",783.214417891458,0.754272462132855,0.188908888822928,3.99278438845651,6.53019419862656e-05,0.000554401204966469,433,764,930,1068,"GO:0000839","ancient ubiquitous protein 1"
"Syvn1",624.398595101973,0.772152374843828,0.193675222538038,3.98684129402343,6.69587826488522e-05,0.000568022312008626,451,465,718,882,"GO:0000151","synovial apoptosis inhibitor 1, synoviolin"
"Gpd1l",577.669186258142,-0.765046899296858,0.191974474839055,-3.98514906702179,6.74377764260455e-05,0.000570744868768243,696,752,395,474,"GO:0002027","glycerol-3-phosphate dehydrogenase 1-like"
